attr1,attr2,attr3,attr4,attr5,attr6,class
0.774193548387,0011320754717,0.137571157495,0.275700934579,0.295774647887,0.23606557377,0
0.247311827957,000471698113208,0.279886148008,0.329439252336,0.535211267606,0.173770491803,0
0.494623655914,00358490566038,0.222960151803,0.233644859813,0.525821596244,0.124590163934,0
0.677419354839,00169811320755,0.156546489564,0.17523364486,0.333333333333,0.13606557377,0
0.236559139785,000471698113208,0.241935483871,0.320093457944,0.333333333333,0.247540983607,0
0.731182795699,000471698113208,0.147058823529,0.196261682243,0.239436619718,0.198360655738,0
0.903225806452,000471698113208,0.213472485769,0.294392523364,0.399061032864,0.195081967213,0
0.505376344086,00392452830189,0.185009487666,0.196261682243,0.276995305164,0.177049180328,0
0.709677419355,00245283018868,0.222960151803,0.198598130841,0.422535211268,0.127868852459,0
0.806451612903,000188679245283,0.270398481973,0.285046728972,0.511737089202,0.155737704918,0
0.655913978495,0207547169811,0711574952562,0.165887850467,0.258215962441,0.15737704918,0
0.182795698925,000188679245283,0.213472485769,0.224299065421,0.30985915493,0.185245901639,0
0.623655913978,00150943396226,0.213472485769,0.214953271028,0.37558685446,0.152049180328,0
0.516129032258,0011320754717,0.213472485769,0.259345794393,0.389671361502,0.17868852459,0
0.559139784946,00433962264151,0.185009487666,0.142523364486,0.356807511737,0.104918032787,0
0.408602150538,000188679245283,0.166034155598,0.205607476636,0.244131455399,0.203278688525,0
0.408602150538,0011320754717,0.185009487666,0.261682242991,0.380281690141,0.183606557377,0
0.688172043011,00301886792453,0.166034155598,0.177570093458,0.342723004695,0.13606557377,0
0.677419354839,0603773584906,0.128083491461,0.193925233645,0.455399061033,0.113114754098,0
0.52688172043,0.115094339623,0863377609108,0257009345794,0.455399061033,0147540983607,1
0.806451612903,000188679245283,0.192599620493,0.224299065421,0.384976525822,0.155737704918,0
0.655913978495,00698113207547,0.190702087287,0.196261682243,0.338028169014,0.152459016393,0
0.666666666667,00356603773585,0.190702087287,0.255093457944,0.37558685446,0.180442622951,0
0.559139784946,0011320754717,0.241935483871,0.31308411215,0.469483568075,0.183606557377,0
0.655913978495,00392452830189,0.192599620493,0.198598130841,0.347417840376,0.150819672131,0
0.817204301075,00169811320755,0.222960151803,0.228971962617,0.286384976526,0.2,0
0.817204301075,00150943396226,0.128083491461,0.285046728972,0.474178403756,0.165573770492,0
0.827956989247,0471698113208,0806451612903,0.11214953271,0.305164319249,0950819672131,1
0.279569892473,000943396226415,0.118595825427,0.247663551402,0.281690140845,0.22131147541,0
0.602150537634,00356603773585,0.190702087287,0.255093457944,0.37558685446,0.180442622951,0
0.290322580645,00356603773585,0.190702087287,0.255093457944,0.37558685446,0.180442622951,0
0.763440860215,000566037735849,0521821631879,0.275700934579,0.399061032864,0.181967213115,0
0.225806451613,000943396226415,0.156546489564,0.189252336449,0.31455399061,0.155737704918,0
0.225806451613,00169811320755,0.232447817837,0.252336448598,0.380281690141,0.177049180328,0
0.344086021505,000754716981132,0.203984819734,0.205607476636,0.370892018779,0.145901639344,0
